name, order, depencies, score
temporary-rc, 828, 15, 1
exceptional, 829, 12, 1
semigroupoids, 830, 15, 4069
hashable-extras, 831, 17, 6
nagios-check, 832, 21, 1
elm-core-sources, 833, 13, 1
executable-hash, 834, 17, 1
proxied, 835, 10, 1
lift-generics, 836, 9, 1
accelerate, 837, 17, 2
getopt-generics, 838, 11, 1
microlens-platform, 839, 22, 5
time-lens, 840, 11, 1
flexible-defaults, 841, 10, 12
dependent-sum-template, 842, 9, 1
persistable-record, 843, 12, 23
math-functions, 844, 11, 18
th-reify-many, 845, 13, 146
repa-io, 846, 18, 1
repa-algorithms, 847, 14, 1
hPDB, 848, 27, 2
unbound, 849, 13, 1
lens-simple, 850, 13, 14
euphoria, 851, 18, 1
GLFW-b, 852, 9, 1
bcrypt, 853, 15, 4
X11, 854, 12, 2
test-fixture, 855, 17, 1
crypto-pubkey-types, 856, 9, 29
asn1-parse, 857, 9, 3130
resourcet, 858, 17, 5983
lifted-async, 859, 10, 27
enclosed-exceptions, 860, 10, 47
flock, 861, 13, 2
fuzzcheck, 862, 14, 1
io-choice, 863, 13, 1
immortal, 864, 9, 1
hedis, 865, 24, 6
stm-containers, 866, 17, 7
binary-parser, 867, 16, 3
profunctors, 868, 20, 3254
text-show, 869, 27, 8
pipes-concurrency, 870, 15, 4
contravariant-extras, 871, 17, 3
composition-extra, 872, 12, 2
lrucache, 873, 12, 2
microlens-contra, 874, 12, 1
vinyl-utils, 875, 12, 1
TCache, 876, 22, 4
pred-set, 877, 12, 1
cipher-aes, 878, 9, 270
cipher-rc4, 879, 9, 3
nettle, 880, 10, 3
cipher-camellia, 881, 12, 2
cipher-des, 882, 9, 2
cipher-blowfish, 883, 12, 2
crypto-numbers, 884, 12, 3
network-uri, 885, 11, 181
regex-tdfa, 886, 12, 49
HTTP, 887, 12, 16
MissingH, 888, 22, 6
csv, 889, 12, 7
protocol-buffers, 890, 16, 4
multipart, 891, 11, 7
inflections, 892, 11, 2
preprocessor-tools, 893, 12, 2
hxt-regex-xmlschema, 894, 12, 52
language-ecmascript, 895, 21, 13
load-env, 896, 14, 2
nicify-lib, 897, 11, 2
units-parser, 898, 12, 3
hmt, 899, 25, 2
natural-sort, 900, 11, 2
language-java, 901, 19, 1
protobuf-simple, 902, 16, 1
neat-interpolation, 903, 15, 1
app-settings, 904, 14, 1
hsemail, 905, 13, 1
docopt, 906, 11, 1
language-glsl, 907, 13, 1
indents, 908, 15, 1
bencode, 909, 11, 1
ofx, 910, 13, 1
indentation-parsec, 911, 12, 1
language-fortran, 912, 13, 1
ViennaRNAParser, 913, 15, 1
blaze-markup, 914, 9, 1957
streaming-commons, 915, 19, 2200
cookie, 916, 12, 867
lucid, 917, 15, 11
mime-mail, 918, 15, 26
language-javascript, 919, 12, 10
hastache, 920, 17, 13
svg-builder, 921, 11, 4
vty, 922, 37, 2
blaze-textual, 923, 14, 3
hosc, 924, 13, 2
HStringTemplate, 925, 23, 3
xmlgen, 926, 11, 2
attoparsec, 927, 13, 5555
megaparsec, 928, 20, 8
quickcheck-instances, 929, 18, 6
bytes, 930, 20, 92
http-types, 931, 11, 3165
http-media, 932, 10, 270
